Sentiment,HelpFul,Title,Review
5,0,looks great,Happy with it
5,0,Pattern did not align between the two panels.,Good quality material however the panels are mis-matched.
5,0,Imagery is stretched. Still fun.,"Product was fun for bedroom windows.<br />Imagery a bit stretched, but still fun.<br />Material is not lightweight sheer, which I appreciate."
5,0,Que se ven elegantes muy finas, Lo unico que me gustaria es que sean un poco mas largas
5,0,Wow great purchase,Great bang for the buck I can't believe the quality of the material. Vibrant colors. I have a very eclectic style and this works beautifully and ties it all together for me.
5,0,Not for us,Looks different then photo
5,0,Perfect for spa room,Was exactly what i was looking for. Heavy material. Great for price and ships fast.
5,0,Actually better than expected,"Looking at the picture, I thought these curtains would be thinner and more sheer. But they are a very nice thickness/ weight and they help insulate my front window. The look is absolutely PERFECT!! They arrived very quickly. I am VERY VERY pleased with this purchase!!"
4,0,Not what expected,Much whiter than I thought it would be and wasn’t really what I was expecting or wanting. Did not use
5,0,Pretty as a Picture,"These are curtains just as the picture shows. This is my 3rd set of Ambesonne curtains. I have one set for I use for Spring and Summer, one for Autumn and now this set for Christmas/ winter. They are all very durable and the colors are very vibrant. I recommend these curtains."
5,0,The best Christmas decoration I think I have ever made.,"It blocks views from our living room and front door of the kitchen/dining area so I don't have to stress about any dishes or mess being easily seen by visitors. I put Christmas lights around it, which really brightens everything up."
4,0,The door images are crooked and rustic. Messes with your senses for straight and level.,They are private when closed. Darkening to a point.
5,0,They weren’t  blackout curtains,They don’t block out light
4,0,Too sheer,Work fine for night curtains but to sheer for daytime they were not labeled as darkening curtains so it was my own fault for ordering them.
5,0,"They are pretty, sort of satiny curtains that hang nice.", 
5,24,Fun and Elegant,"I just love this curtain!! It is printed on a polyester type material, the back of the material is white.  I had put this up on my large sliding glass door to see how the curtain would hang. The material is of a good weight and it hangs well.  I happen to go outside (at night) and you can see the same print outlined from the other side of the curtain (just an unexpected surprise). The 3D quality of this curtain is so much fun. Its elegant."
3,3,Three Stars,i love them but the hem on one is smaller then other one
5,26,Very good quality and beautiful design,"Second time of writing a review on Amazon, always and will always give out the honest opinion. Very good quality and beautiful design.This product is worth of buying."
5,3,Beautiful,Love these curtains even more in person!!
5,6,Five Stars,Even more beautiful in person.
4,56,Beautiful !,"beautiful, the curtains really made our living room shine, was a lot better than we expected. the tissue quality is very good and when the sun hits it from behind, it makes it look like a wall frame (see attached picture).<br>The only reason I'm giving it 4 stars is that one side was a couple inches longer than the other."
5,17,Beautiful,"This curtain is so pretty I find myself walking into the room where it is hung just to stand there and look at it for a minute or two. It makes me feel so serene and at peace. It looks even more spectacular with the sunlight coming through it from outside. Closest thing to a wall mural I will probably ever get.  I just got it so it has been up only for a day, but at the moment I don't have the center bracket installed on my rod and it is not sagging, as the curtain is quite lightweight."
5,14,A nice addition to the room.,"These curtains are beautiful.<br><br>They are of a light material, but not see through. The top seam is roomy so that they can be pulled back or clipped and pulled back easily.<br><br>The color was a bit paler than I expected, so they were not as bright as I worried they would be. Definitely, a nice addition to the room."
5,4,Excellent quality,Great material and printing on the material!
5,1,"I love these, as I wanted to use then on ...","I love these, as I wanted to use then on the patio around the hot tub.<br>they are really nice, and the price I could not fine a better price. there<br>not only for kids room and remain me at the old pond wooden dock."
5,0,Five Stars,This is perfect for my home and Christmas decorations
5,8,Worth the price,"I love these curtains! They are exactly as pictured and the quality and detail is more impressive than is lead to believe by the picture. At first, I felt like the price was too high, but then I got them and realized you are paying for great quality and craftsmanship. So now I feel much more comfortable with the price.<br>I'm very happy I took a chance on these.<br><br>I will note that there is a minor discrepancy with the length from one side to the other. It seems to fluctuate give or take an inch all the way across. It's a very mild and gradual curve, but noticeable if you are looking for it. I'd be curious to know if this changes after being washed, but I chose not to wash mine. If I ever do, I will update the results.<br>*and I didn't wash them because they have very few wrinkles out of the box"
4,7,Four Stars,I live in a coastal town but not across from the ocean....so this is my ocean view..lovin it
5,0,"Love it, I wanted something different and this is ...","Love it,  I wanted something different and this is perfect,  it brings life to my living room for the season"
5,0,perfect,Looks just like the pic! I love it!
